	primitive	classical	secretory	basal
ENSG00000196465	0.539568278118458	-0.13975468181754	-0.0844113125086192	-0.0335510371221659
ENSG00000114631	0.852271752937777	-0.0199974513321868	-0.104801981484266	-0.0530025684800346
ENSG00000025156	0.29383085448642604	0.0604043888262975	-0.131565726278863	-0.0791301260911208
ENSG00000135912	0.679556700667255	-0.0893016586313669	-0.0441888018170316	-0.0846573296979833
ENSG00000175130	1.01598525150569	-0.306554812104466	0.0125950230553586	0.0972776041532282
ENSG00000110492	1.00142109263749	-0.0197973747709224	-0.202897523742618	-0.22217951991861398
ENSG00000110721	0.5131657439867029	-0.150268678469153	0.23532778936057397	-0.136313209616049
ENSG00000130726	0.5694028410471109	0.021241737971458	-0.264211664238645	0.0112874411609596
ENSG00000148175	-0.73799704049818	-0.0650571022144142	0.297794436241593	0.0434337375670024
ENSG00000137752	-0.7755588673207429	-0.18704813896656602	0.305712696674859	0.0635494254600486
ENSG00000196743	-0.512820906375937	-0.0395402126826081	0.0854622791875004	0.255418848116771
ENSG00000137767	-0.847120877838659	-0.0213135000383371	0.25202479223751395	0.170829739062023
ENSG00000182326	-0.939097987710597	-0.13788624433458802	0.42005820681892897	0.4747723979561839
ENSG00000021355	-0.7877407370239531	-0.19814022459349598	0.414454652011991	0.6636835268668421
ENSG00000178726	-1.2766632533558602	0.12567098612387198	-0.114393144838298	0.542094580426515
ENSG00000027075	-0.567878684458619	-0.0721988896396653	0.130207793820358	0.150491928983832
ENSG00000144063	-0.9080653095186929	-0.0321820019770107	0.274806159431725	0.48704355066144706
ENSG00000121552	-1.7953328179618702	0.7152546304076891	-1.5248139464543	0.928803853884007
ENSG00000114948	-0.41681144403919895	1.6193114797352202	-1.01228086273412	-0.441228025482823
ENSG00000178919	-1.23176259443823	1.6725032615706	-1.38515839534597	-0.0650308187928146
ENSG00000147119	-0.852343398966696	1.4096305022214601	-0.86868979398728	-0.29408624602294897
ENSG00000181449	-0.35108852738689306	1.15073066609777	-2.32873712815556	-0.8039429053641629
ENSG00000143367	-0.105445260404871	0.87485503990613	-0.641029072272327	-0.34486363105632595
ENSG00000073282	-0.946061600286375	0.776519968480629	-1.08319154436749	0.161462613382839
ENSG00000109062	-0.793414802254164	0.7528146332847041	-1.09049025172637	0.10401029017263799
ENSG00000108602	-1.10117515524438	2.80296448671673	-1.5031565922986	-0.47067247278650204
ENSG00000074047	-0.31116147755268897	0.574330301208883	-0.169792470989368	-0.0858660836389746
ENSG00000072210	-0.32888067995225106	0.739183218532306	-0.376512042485082	-0.363349748317711
ENSG00000134686	0.155470139737891	-0.327945667401085	0.35265285621533704	0.151624391730072
ENSG00000184007	0.0633761817642423	-0.29690538831838803	0.247924639541995	0.0592862749060491
ENSG00000135404	-0.0196880009798894	-0.26976690217568106	0.406435450059933	0.0989042065794283
ENSG00000182809	0.17165598435502	-0.522277122411608	0.669333819109927	0.282176472419809
ENSG00000134802	-0.0607036157428515	-0.30883021534089	0.621643456759275	0.0286067015390672
ENSG00000136205	-0.13391278817972999	-0.47778216883067	0.7396193504646491	-0.0173265059221573
ENSG00000196776	-0.148348272503379	-0.379099518093067	0.310394120163043	0.301584640284308
ENSG00000162384	0.16763896909620402	-0.25481160622377	0.197031921826131	0.0398918251490561
ENSG00000171206	-0.0264603178289637	-0.24229525375341002	0.37292916887395394	0.16631643496201598
ENSG00000112773	-0.0493565657901254	-0.45423172891089	0.36172977885068297	0.425587666853134
ENSG00000168679	-0.0325461072457483	-0.151896215891184	0.58320757524249	-0.0173641396467044
ENSG00000111348	-0.36588401970625495	-0.408151566526366	0.8408825647239371	0.00116551064662566
ENSG00000197635	-0.253242312763184	-0.113888745628071	0.7080707534339491	0.0483964427917503
ENSG00000023445	-0.544763432264072	-0.338642921783666	0.9074555990095459	0.0148053624205837
ENSG00000273936	-0.18289794339648602	-0.275068724225167	0.648367843201646	0.00491132449075493
ENSG00000275565	-0.269382725352421	-0.250615811645122	0.55323799180573	0.0434514215469431
